City,Item_label,Price_eur
Berlin,Cappuccino,3.83
Berlin,Cinema,13.0
Berlin,Fitness_monthly,33.77
Berlin,Gasoline_1l,1.71
Berlin,Mcdonalds,11.6
Berlin,Meal_inexpensive_restaurant,15.0
Berlin,Monthly_pass,59.0
Berlin,One_way_ticket,3.8
Berlin,Taxi_1km,2.8
Madrid,Cappuccino,2.71
Madrid,Cinema,10.0
Madrid,Fitness_monthly,43.71
Madrid,Gasoline_1l,1.6
Madrid,Mcdonalds,10.0
Madrid,Meal_inexpensive_restaurant,15.0
Madrid,Monthly_pass,39.25
Madrid,One_way_ticket,1.5
Madrid,Taxi_1km,1.3
Paris,Cappuccino,4.15
Paris,Cinema,14.0
Paris,Fitness_monthly,37.05
Paris,Gasoline_1l,1.82
Paris,Mcdonalds,12.0
Paris,Meal_inexpensive_restaurant,15.0
Paris,Monthly_pass,88.8
Paris,One_way_ticket,2.5
Paris,Taxi_1km,1.96
Rome,Cappuccino,1.7
Rome,Cinema,10.0
Rome,Fitness_monthly,60.49
Rome,Gasoline_1l,1.73
Rome,Mcdonalds,10.0
Rome,Meal_inexpensive_restaurant,15.0
Rome,Monthly_pass,35.0
Rome,One_way_ticket,1.5
Rome,Taxi_1km,1.5
Warsaw,Cappuccino,3.61
Warsaw,Cinema,8.24
Warsaw,Fitness_monthly,40.25
Warsaw,Gasoline_1l,1.5
Warsaw,Mcdonalds,8.24
Warsaw,Meal_inexpensive_restaurant,9.42
Warsaw,Monthly_pass,25.89
Warsaw,One_way_ticket,0.99
Warsaw,Taxi_1km,1.18
